,0
0,"It would be 5* in few years time. But this 2005 is an impeccable and elegant beauty to drink even now. Rich and dense. Super rich in dark blackberries and cassis. Medium body and moderate tannin. Nose 👃 tobacco, blackberry, truffle and mocha Taste 👄 blackberries, cassis, pepper, vanilla, smoke, toast Pure joy"
1,"2014: Delightful nectar, this left bank Bordeaux rocks and shows how good Graves wines can be, even young !"
2,Red fruit aroma . Easy drinking
3,Would complete a great Sunday roast
4,"Great aroma of red fruit, and taste, the Cabernet stood out."
5,Different and fun. A bit acidic.
6,"Smell: mouth watering sour candy Taste: sour cherry, red currant, slightly woody, plum Color: plum color"
7,"Red and dark fruits, earthy, oaky, leather. Your typical Bordeaux style. On the palate, a bit too acidic for my liking, which was more offensive than mouth watering. Price tag is steep for the quality in this bottle."
8,"Great flavour, very smooth and easy."
9,oak blackberry tobacco blackcurrant leather
10,"Fruity, full body, I really enjoyed this one."
11,Amazing Bordeaux Blanc
12,2015: Cab stands out. Full and bold. Great finish and drinking well.
13,"Leather, plum, violet"
14,What a beautiful wine! Elegent but complex. 5*
15,"Nice pleasant fruit notes, subtle wood and short finish."
16,Fruity & lots of fruit
17,"Your classic Bordeaux wine. The bouquet is a cellar nose. Deep colors, dark fruit characteristics. Perfect acidity. What more can you say. A wonderful second growth"
18,Blueberry jam nose which also translates in the same body. Medium heavy body with liquid medium tannins. Particularly elastic for the Medic blend and really elastic on the tannins.
19,"Opens with intense nose of black currants, cedar wood and green tones. Develops elegantly into tobacco, graphite, dark ripe cherries. Assertive tannins and enticing acidity. Full bodied, complex, layered and mature. A joy."
20,"Château Malartic-Lagravière is one of the only six classified growths both for its red and white in Bordeaux. A blend of 53% Cab Sauv, 35% Merlot, 7% Petit Verdot & 5% Cab Franc, aged 18 months in French oak, 80% new. Rich and dark with berry aromas, complex and enticing. On the palate perfectly ripe blackberry and cherry with earthy dried herbs, some cacao and toasty spice. Fine dusty tannins, well balanced with acidity building to a great finish. Very special."
21,"💥 Excellent aged Pessac-Leognan @ £42 drinking superb right now performing at its peak for a couple of years 👍 🍇 Merlot 50%, Cab Sav 40%, Cab Fr 10% 🍷 Dark garnet ruby red with brown tinge at edge 👃 Yum earthy lead, flint, gravel, minerals, burnt smokey oak, spiced dark fruits, mocha & tobacco - nice! 👄 Medium body of beautifully soft super silky ripe earthy dark fruit & graphite hints really nicely balanced with cocoa cream 🎯 Long stone washed dark fruit slight sweet & pencil finish & cocoa end"
22,"Grapes: Marlot 45%+ Cabernet Sau. 45% + Cab Franc and Petit verdot Barrique (75% new). Excellent and complex at nose: red fruit, wax, plum, jam, blood, leather. In mouth it is perfectly balanced, the acidity is in a perfect proportion with softness, silky tannins with an elegant texture, smokey notes, round with a long and fruity persistency. Perfect for ageing."
23,"Solid 4.2. Strong and robust. Extra years would bring benefits to its flavor. Still, graves on its format. In love with France wine."
24,"Intense enough yet very well balanced, beautiful nose, rounded palate with very pleasant tanin and long lasting aftertaste. I did enjoy it very much."
25,Powerful and fine nose with red fruits (strawberry) and plumb aspects. Touch of réglisse with strong and already smooth tannins. Awesome!
26,Found this to be one of the best Bordeaux’s I’ve ever had. Was a real big one- just like I like my wine. 2nd bottle of NYE 2018
27,A refreshing wine of Semillon blend mainly composed of Sauvignon Blanc. It has a classical taste in a pleasant harmony of herbal and barrel scents.
28,"Well balanced, strong tanins and at the same time the wine was not heavy. Oak/vanilla with dark berries/cherry. A very nice typical Bordeaux."
29,"Good strong nose with cedar, leather, mushroom, black cherry, black pepper and smoke. Full bodied with high acidity and a good finish."
30,"Had this bottle second time within a few weeks and the distinctive flavors of cherries and oak are the first impression, followed by a long finish."
31,"Very good! I think that the wine has passed its best point in terms of ageing. Taste of cedar, cherries and oak. Smooth and full bodied."
32,Vintage contrast wasn't bad In Korea the price ratio was disappointing cassis blackberry leather oak tobacco cedar smoke earthy
33,"Audience Grand Cru Classe 2018, Prague Castle, 27th May, 2021 Great wines overall, super fruity and still pretty young vintage 2018!"
34,"Rather a fruity Bordeeaux - very nice now already. Integrated tannins, a bit of bramble, a bit of classy Bordeaux, but rather modern wine. Nice"
35,"Young, full on grace structure. Tannic with cassis and semi leathery nose. Can go on for a long time! Elements of graphite and lead."
36,"This is a lovely wine - so much better than the 2005 I recently had. Lots of fruits, blackberries, hints of smoke, redcurrant. Big big fan! 95"
37,"Black currant, spices, liquorice, vanilla, smoke, pencil shaving. Tannins already starting to integrated and long aftertaste."
38,"Attention ce vin est hautement buvable, tannins fins, croquant et gourmand, pointe épicée, petits fruits noirs. Just smooth fresh and elegant."
39,"Great body and structure. Refreshing, mineral notes, very good, ripple effect in mouth with gorgeous body and citrus aromas. Very enjoyable."
40,Soft introspective nose. CF driven. Ripe forest fruits and cedar wood. Delicious. 16 pts @ UDGC
41,"Christmas wine session officially open!! Superb walnut nose, smelt and bloody tanins,not very complex mouth but decent length, perfect time to open it!"
42,This has to be one of the best Bordeaux wines I have ever drunk I have paid far more and not experienced the wow factor Montrose is still my favourite
43,"This is a different planet altogether. A rich elaborate taste, a superb structure and maturity. 19 years old and at its peak. Magnificent experience."
44,92 Deep purple. Not very open but delicate fruit and blackberry blue berry black currant with elegant wood flavors. Full body aristocratic tannins and long finish.
45,Dark red. Herbs and berries and a hint of tobacco in the nose. Full body and rich fruits with strong tannins. But it needs to breathe at least for one or two hours.
46,"Crisp nose of cut grass and melon. Smooth, buttery and delicious taste of apricots, peaches and pears. Long sublime finish. Am ordering a case, for sure."
47,"Very ripe juicy blackberry, cherry on the nose and palate. Medium soft tannins, low acidity, very long presence of jammy berries. Lots of fruit on this. Very good."
48,4.5 great one. Not on expert but loved it. Dry finish. Lots of berries. Oaky nose. My cup of tea. Medium and great balance. Highly recommended.
49,4.2 stars. Tasted this again and wow! Great balance. Light on entry but then packs a beautifully medium-bodied and structured melange of black and red currant fruits.
50,Really like this now. Is only going to get better with age. It’s more sav Blanc tasting than some white Bordeaux. I’m guessing more sav Blanc than semillon.
51,"Deep dark red. Delicious aroma, a little sweetness, ripe fruit, forest floor and spicy notes. Velvet soft on the palate, dark berries, peppers with a long finish.."
