,0
0,"Absolutely stunning wine, rich deep dark black fruit, graphite, silky tannins - young but drinking well - many many good years ahead if it."
1,"Great 2005 Bordeaux from Château Smith Haut Lafite, fabulous fruit aromas & great length, depth, structure & finesse, the big 2005 vintage shows nice maturity at 14 years"
2,"2012 vintage dark ruby in color, almost as opaque as ink, blackberry, red cherry and earthy aromas and tastes, firm tannins give it a wonderful structure that is very balanced. it needs quite a while to breathe. if you taste it immediately after opening and the in an hour or two later you will be amazed at the difference."
3,"Leathery nose, soft , accessible. Amazing for such young wine."
4,"Taste this on 2020 Bordeaux En Primeur. Concentrated black fruit, with deep structure and strength, balancee by long lasting cedar and smooth tannin."
5,"2009 vintage, still young and vigorous. Beautiful fruity aromas with black current, black cherries, sweet baking spices and herbal notes."
6,great with abt 30min decanting. grass earth nose. very viscous an think. full bodied. nicely aged wine but i was expecting more from this winery
7,"Intense and pure nose of black currant and blackberry. The palate is dry and medium bodied with firm, fine tannins and a clean, fresh and persistent black fruit finish"
8,Very powerful. Lots of prunes and chocolate. Really love this wine just a bit sad to see how the price went so high.
9,"A vertical tasting of shl with M. Cathiard himself, thanks to Bacchus Geneve for another great evening!"
10,"Although i am more of an Italian wine fan, this is one of my favorite french wines. Classic Bordeaux red blend (has a nice touch of cabernet franc and petit verdot), it has an excellent acidity and wonderful structure, quite tight, showing a little cedar. Juicy red fruit, concentrated black fruits."
11,"Wow. You want a long lasting, amalgamation of flavor? How about pleasant smoke, earth, truffle, dark fruits, leather as well. Amazing showing from Bordeaux and probably the best wine you can buy without destroying your wallet. Please decant this younger wine to bring out a slew of new flavors, and I imagine aging this would be a pleasure to experience."
12,Excellent bourdeaux 2010 vintage. Best bourdeaux I have had ever.
13,vanilla blackcurrant tobacco leather oak
14,"4,1⭐️ 2020 Chateau Smith Haut Lafite, Pessac Leognan Bordeaux En Primeur tasting Without notes"
15,One of my favorites
16,"Rich and full, too much fruit? Very good."
17,"At first young, acidic flavour but after-taste is fantastic with a hint of vintage, cask-y taste."
18,Excellent concentrated sophisticated
19,"Incredible wine, maybe a little difficult and unusual vanilla leather earthy"
20,Enjoy The day with Brazilians drinking French
21,Lovely nose of black currant and blackberry.
22,Great body fruity
23,"Excellent wine , full body , taste of wood and cigar"
24,Gorgeous tobacco with blackcurrent
25,"18 June 2021 @ Christy’s - 97 vintage, goes well with SEA food"
26,"Stunning. Went on a wine tasting at the domaine which is a must do while visiting Bordeaux. Silky, deep but yet sophisticated wine 🍷 with aroma of leather blackberry tobacco chocolate vanilla earthy"
27,Disappointing. Harsh tannins and not very well balanced. The 2011 at least did not live up to the price tag.
28,"Grapefruit and minerals, pretty yummy"
29,"Beautiful aged Bordeaux. Full of leather, earth, graphite, and dark fruit flavors. Bright acidity and a long finish. Its hard to beat good Old Bordeaux. 4.4"
30,"Has wonderful richness and suppleness, lovely fruit and harmony. A superb example of a graceful, balanced wine that is delicious now. Lots going on here."
31,"One 2005 deserves another. A great producer also known for its white gems, this is in a lovely phase. Black fruit core, juicy acidity, ripe tannins, excellent flavour intensity and length."
32,"Apricots, nutmeg and a great mix between a rich full mouth feel and a vein of salinity running through this Bordeaux Blanc. Well integrated alcohol and a finish that lasted ages."
