,0
0,"4,3⭐️ 2020 Domaine de Chevallier, Pessac-Leognan Bordeaux En Primeur tasting Grapes: CS, Merlot, PV, CF No tasting notes Good value. JS 96-97p"
1,"Bordeaux En Primeur 2019, more focus on tannin and structure rather than aromas and palates; Very opaquely, really fine tannin, excellent length! Outstanding!"
2,"Delicate tannen, medium-high body, black forest fruits and tertiary aromas from oak. Very nice balanced wine."
3,Had the 2010 in 2021. Fantastic
4,"2008 Happiness in a bottle. A perfect Bordeaux - no baggage, well balanced, vanilla, blackcurrant and restrained oak on the palate."
5,Magnum dégusté chez james suckling à Hong Kong a l’occasion du top 100 wines of the world
6,"Amazing. I loved this. For me, this was absolutely spot on and drinking superbly."
7,17+ austere. Long cellaring required
8,"65% Cabernet Sauvignon, 30% merlot, 5% petit Verdot, only 13.5% abv. What an amazing nose - elegant, milky vanilla chocolate notes!!! blackcurrant and oak notes. Color: purple hue, very young. 20 month in 100% French oak, silky smooth tannins. Drinkable now, but surely will evolve to better."
9,"Dark brown red. Very strong cassis smell stimulates the nose. Taste wise not much fruits feeling, but strong tannins and earthy, smoldering taste. Dry and a bit medium end full body. Tried 2007 and decanted for three hours."
10,Wonderful wine. Dry as feck. But really lovely smoky notes
11,"Gorgeous aromas, fresh earth and ripe fruits. Well balanced wine with depth of palate. Very refined."
12,"Cassis, tobacco, leather, still at its best after 36 years!"
13,I can believe it
14,2013 year，not a fantastic year but good. dark ruby color with nice oak smell. 40 Minutes breathing come with soft tonnin. Good wine in Pessac Leognan.
15,Elegant : we had the 2007
16,"Incredibly well balanced, notes of dark fruit, tobacco and leather. Surprises without being too heavy."
17,"Think I just had a winegasm! The citrus hits you first, white flowers and a creamy, buttery aftertaste."
18,Seriously good stuff
19,Wow...depth and excitement
20,"Lovely complex, beautiful colour, worth every cent"
21,Full body and rich
22,One of the best wine I have ever tasted.
23,Dry and good value!
24,Best white I’ve had in a long time
25,"smooth and fruity, first time try wines from Graves, pleasant experience"
26,"Wonderful Red Pessac-Leognan, rich, full and opulent, fully mature now, all fruit and tannins are fully integrated, now at its best!"
27,"Intense nose , full of black fruits, full body, round and rich, medium tannins, still needs time, but very impressive.. My score 92"
28,A great full mature complex Bordeaux that kept a kick of youth and is not as boring as many new Bordeaux wines - subtle and gentle
29,Finally tried a 2010 after many 2011. A wine that can shine and excites my palate. Approachable now but will continue to improve for the next 5 years.
30,Superb power and full body. Just beginning to really reveal itself. Still young but lots of more earthy flavours beginning to develop. Drunk alongside a wonderful entrecôte.
