,0
0,One of the Best cabs in the game bar none
1,"2010 still great in 2021. Lots of cherry, black cherry with hints of vanilla on the end. Not quite as good as 2013 but well worth the wait."
2,"Excellent wine. The tobacco lingers a bit at the back of the tongue, making the wine seem bold while sweet for a cab. Loved it. Such a treat."
3,This is by far my favorite wine! Great bold flavors blackberries and much more. One of a kind. If you love Cabernets this is a must.
4,Bold cherry red!
5,This was one of the most unique Cabs I have tried. Super smooth with almost no tannins.
6,Deep color. Dry. Hints of oak and the perfect sweet and bold balance. A very good red.
7,"Amazing smell, bold taste, best wine I've had!"
8,Great winery and wonderful body to this wine. cherry oak dried roses
9,Celebrated my 50th with this wine! Every sip was amazing!
10,"Dry, red and fine taste bold wine."
11,Best wine I’ve had to date. Bold and a bit on dryer side. Excellent flavors.
12,"Black cherry, cherry and other red fruit flavor are incredibly strong and persistent in this wine. E joyed every sip"
13,"Very cherry, fruity,"
14,"This wine never fails to impress. Aromas are blackberry, cassis and cherry. Flavors are blackberry, mild cassis, cherry and mild oak toast. Late in day so likely missing some nuance."
15,The very best Cabernet from Sebastiani! Honestly for the price I would suggest 2016 Cabernet or Old VineCabernet and buy2-3 times as many bottles!
16,"Birthday #wine fruit forward with black cherry plum light spice med-full body light tannins, just a wonderful wine @cherryblock @sebastianiwine"
17,Mixed berry pie. Black cherry. Wet leaves. Stone. Dried chili pepper. Oregano. A sharp nose and smooth fruity palate. Delicious!
18,Strawberry cherry other dark fruits. Don't know how else to describe it but this is phenomenal. Favorite from California from large production.
19,"Delicious complete wine that is well balanced in flavors. Nice acidity with touches of leather, lavender, and sarsaparilla on top of other flavors."
20,Incredible. Giving this 5 stars was easy. No need to elaborate. So glad I have more than 1 bottle so I can try again when it matures a bit more. Amazing cab.
21,"Creamy luscious cherries and black currant on the nose, kiss of vanilla, on the palate you get juicy raspberries and red plum. Structure is tart but light."
22,"Now this is a wine! Cherry on the nose, surprise pop of pepper in the middle, soft and long finish, perfect medium tannins. Will she well for many years."
23,The cherry infused richness from hundreds years past cherry orchard terroir on this single vineyard cab now make the block a unique and classic wine for Napa lovers.
24,"Excellent bottle after let it breath for at least half hour black currant good complexity cherry and strawberry, lemon. Ruby color spicy and smooth long finish"
25,"Very very good. Licorice on the nose. I would decant it for a good long time - found the tannins too strong to start with, but with time it was much smoother. Great with ribeye."
26,Really amazing wine! I was very impressed with the weight and the fruit. There is definitely a hint of cherry and some tobacco. A little pricey but I think it's worth it.
27,"A well aged wine brings comfort and deliciousness like this 2002 Cabernet with concentrated fruits of blackberries, cherries and plum with underlying flavors of licorice, black currant, spices and well-developed berry aromas that adds maturity and depth. Wonderful!"
28,"Black berries and olives. This wine is now 17 years old, almost legal! was a great experience. A classic sonoma cab. Great ruby color that aged well over the years. Biggest complaint is finding this vintage again may be real hard. Party like its 1999!"
29,"Dark magenta colour after resting 4 years since purchasing. Huge vanilla, cherry wood, leather and some blackberry notes. Legs that are slow to develop and slowly droop on glass enticing you. Smoother than silk on palate after being laid down with dark fruit, dark chocolate, leather, straw, and a dry oak finish. Outstanding and will get better yet."
30,"Translucent plum hue. A extraordinary nose of musty cedar chest, black walnut, tobacco, and drying leather. Black currant, clove, lavender entangled with dried dark fruit, hazelnut, and fig. This is an astonishing wine that is ready, but willing to wait. Don’t tell Napa but this Sonoma jewel would rival their very best! 96 points."
31,"Rich, vanilla and maybe just a slight hint of pepper? Very very smooth, probably because it was aged well and fairly complex. This is a heavy big wine so have to let it breathe, especially after 11 years. Only downside was I was just expecting a little extra? Probably being unfair. Had at Eddies house"
32,"2001 vintage 100th anniversary wine since Sebastianis first vintage in 1901. Color is medium ruby Nose had red licorice, leather, truffle, Raspberry and mocha. Palate had vanilla and black Raspberry. Tannins are youthful and the wine hs great balance. Delicious now but has many years ahead. One of the best older wines I've tried. Cheers."
33,"The Cherryblock vineyard Cab Sauv at the estate in Sonoma has been a favorite since our first visit to the winery in 1998. Dark rich berries, blackberry, black cherry, plum , blackcurrant, chocolate, baking spice and something earthy. Love this wine though there are many that are as good for 1/2 the price I guess what’s special is the history and small production. Had with rib eye for Father’s Day. Like the 20% off to non club members and free shipping too!"
34,"Tasted and bought at todays top USA mini Tasting at Zweifel. This wine has a nice ruby red, nose full of red and black fruits, smoke. On the palate silky and fine, full bodied, elegant and long, elder, cherries and plum, vanilla, smoke. A light sweetness, wonderful wine and and save for next 5-10 years! Interesting discovery, but the price is ""too high"" 😎👍🏻🍷"
35,"Plum jam, blueberries, creme de cassis and a tad smoke and earthy loam. Nice surprise indeed. A real mouthfeel!!! Super smooth tasty finish. High praise!!"
36,Oh. My. God. This is heaven. So much blackberry. Peppery finish. Watery up front with a fantastic bold finish.
37,"Outstanding! ""Cherry""block isn''t just a name. This is a huge cherry bomb. Big up front and long finish with toasty plum and cherry flavors."
38,"Amazing bottle of full bodied velvet. The flavors are so heavily layered it almost feels thick to drink. A little sweeter than I thought, will be good for years to come."
39,"Rich cab, long and complex, fabulous with steak. KK: Not too strong on the nose. Holds up to the flavorful ribeye well."
40,"In this Magnum you can really appreciate this wine, 4.8⭐️"
41,Not even here two hours...never bought Sebastiani before but the Cherryblock rocks! Thanks Penny
42,"A-ma-zing. I love an oaky wine and this does not disappoint. Rich, smooth, and velvety."
43,Black cherry and blackberry are present with a subtle tannic after tone Wonderful finish. Outstanding vintage. Will age wonderfully. Great wine
44,First time drinking the Cherry Block. Really nice!
45,Had as an extra at a tasting. Spectacular
46,Yea It is that good!! 95 pts
47,No one can beat Cherryblock from Sonoma- this wine over delivers!
48,Deep ruby with dark berry taste. Rich and smooth.
49,"Plum, cherry, and oak! Lots of layers. A sharp, tannic finish."
50,Round and tart. Cherries and cherries.
51,Amazing Cab. Like no other I have tried.
52,"Excellent elegant cab! Rich deep red color, nice nose. Smooth finish, really no tannins. Hints of blackberry, dark cherry. Great with a nice ribeye steak."
53,The best cab out there
54,This is a thoroughbred. A wonderful cab. Great balance. Mild black cherry yields to modest earthy finish with no tannins. Wonderfully smooth; easy to drink. A winner. J
55,"Light, fruit forward, great early dinner wine"
56,"Lovely oak and leather in nose, absolutely lovely legs, well-balanced tannins and oak in palate with dry finish and dark berries in aftertaste. Lovely!"
57,A mix of red berries with a little tartness. Also some wet soil-minerally finish. Medium body. Well balance tanins. Liked the wine. The price not so much.
58,"90's American Wine Night promoted by Vaocubo Blog - vaocubo.com. El Tranvia Itaim, December 5. Third place of the night, generous aromas of vanilla and red fruits, elegant on mouth. Rate 4.5"
59,"Super smooth, however it needs to breathe"
60,Wow! I have been looking forward to trying this one. This wine has some heft with the perfect balance of blackberry and vanilla with a touch of tartness. This is fantastic!
61,Light fruit with a slightly dry finish. So easy to drink. Excellent right out of the bottle!
62,Absolutely awesome cab. Been sitting in my basement for 5 years and today is my anniversary so my wife and I decided to celebrate considering the times we are in now and enjoy this really nice bottle of wine with filet mignon steak. The wine is very smooth with dark fruit cherries and some earthy tones. Definitely one of the better wines I ever had.
63,"Lovely earthy and spice notes on the nose. More earth and spice on the tongue, complemented by leather notes. Tannic on the finish. Parches just a little bit and is very dry, but totally worth it. Lovely plum color on the body."
64,"This wine is outstanding! Dark fruits, chocolate and sweet oak."
65,"Wow! This is a Stella cab sauv. I seriously didn’t know I had something this good sitting in the wine fridge. Kudos to me!! Bold and subtle, fruit but dry this is simply a solid drop. A little surprised on the amount of sediment already but great flavor with a smoke cherry note. So good"
66,"92. PnP'd. Big fruit, with vanilla, tobacco, leather and plum. Nose and mid palate are terrific. Nice finish and slightly try. Drinking well but I believe it will be excellent in another 2 years. Wish we had time to decant this one but we will be grabbing up a few for sure!"
67,"Wow, what a nose! Cherries, blackberries, clove, cedar, and maybe eucalyptus. In a nice place right now - tannins are silky smooth and the finish is long and elegant. Great value from a solid, historic producer."
68,"2016 - Great nose on this one, abundant with red fruit, oak, coffee and baked plum. Soft and smooth through the palate, drinking great now. Mineral notes, blackberry and vanilla finish it off. 4.45* RP94"
69,"Very smooth, high quality Cab that would appeal to people who aren’t usually Cab fans. Medium intensity aromas of black cherry, minerals, plum, cassis. Medium-dark ruby in color. Medium-heavy body, low-med acidity, medium tannins that are VERY smooth. Flavors of black cherry, vanilla, oak, plum, raspberry, blackcurrant, blackberry, blueberry, dark chocolate."
70,"Dark fruit, blackberry jam, soft vanilla and oak on the nose. Blackberries, black cherry and black tea on the palate. Gripping tannins lead to a long finish."
71,"It’s a good wine...black fruit notes with a blend of some red fruit notes as well...nice balance...not as smooth as I wld of expected, tannins were mild."
72,"Big fruit, big tannins, big long finish. This is as good as Diamond Creek!!!dark black color. Wonderful!!!"
73,Black currant with hints of chocolate. Dynamite.
74,2010 is Absolutely delicious after decanting for an hour or so Delicious dark fruits with some light chocolate. Wonderful nose and long finish
75,"Excellent bouquet, fruity, wonderful balance and finish. Medium body Cabernet.Would be great with beef or pork. Not strong enough for lamb."
76,Wow Bird and I had on our first trip to Sonoma and loved it a few years ago Just had again Holy shit Amazing
77,"‘15 Raspberry and licorice on the nose. Booming cherry after about 90 minutes decanted. Extended, delicious finish."
78,As always... A super excelent wine!!! A very fine Cab! Elegant and round.
79,Just drink it. Amazing ♥️
80,Greg’s in Dallas
81,Happy 25th!! Ca’ Bianca in Santa Rosa for this magnificent celebration!!
82,Excellent smooth dirt cherry great with Spinalis (on top of rib eye) at Cuvee Destin
83,"Smooth, very good!"
84,"Nice, but need a little more bottle age."
85,Tasteful black cherry
86,(4.4*) Evento do Blog Vaocubo no El Tranvia do Itaim com vinhos americanos da década de 90.
87,Needs decanting but worth the wait def a wine by the glass wine.
88,Wow I fell in love
